,xte_0,xte_1,yte_0,modelte_0,epi_0
0,-2.0,-2.0,3.9455978889087944,1.191984,0.20261842
1,-1.8666666666666667,-2.0,4.00978398952416,1.2213202,0.18615937
2,-1.7333333333333334,-2.0,4.0793328325168625,1.2506545,0.17753723
3,-1.6,-2.0,4.123669780834369,1.2775915,0.17510042
4,-1.4666666666666668,-2.0,4.118295027682019,1.3045486,0.16059762
5,-1.3333333333333335,-2.0,4.056122684589194,1.3340118,0.14041078
6,-1.2,-2.0,3.9534307502969424,1.3642442,0.106092036
7,-1.0666666666666667,-2.0,3.8475007390691545,1.4049753,0.12623495
8,-0.9333333333333333,-2.0,3.785938232031315,1.4669418,0.21319214
9,-0.8,-2.0,3.810799376153293,1.581701,0.43568584
10,-0.6666666666666667,-2.0,3.9428296111302017,1.7830243,0.57061577
11,-0.5333333333333334,-2.0,4.171477235015246,2.0117347,0.6064688
12,-0.3999999999999999,-2.0,4.45464871350764,2.2397773,0.568032
13,-0.2666666666666666,-2.0,4.728953426250477,2.4600632,0.59261775
14,-0.1333333333333333,-2.0,4.927554705184821,2.6452308,0.59037423
15,0.0,-2.0,4.0,2.6718721,0.5820898
16,0.1333333333333333,-2.0,4.92755470402439,2.6750634,0.5643045
17,0.2666666666666666,-2.0,4.728953425794493,2.463038,0.5852313
18,0.3999999999999999,-2.0,4.454648713318042,2.2158957,0.56058824
19,0.5333333333333332,-2.0,4.171477234961613,1.9843472,0.5629326
20,0.6666666666666665,-2.0,3.942829611144507,1.7759061,0.5286437
21,0.7999999999999998,-2.0,3.8107993761927434,1.5880083,0.37322518
22,0.9333333333333331,-2.0,3.7859382320695727,1.465539,0.22062555
23,1.0666666666666664,-2.0,3.847500739093003,1.4021478,0.15086973
24,1.2000000000000002,-2.0,3.953430750303416,1.3664558,0.21072909
25,1.3333333333333335,-2.0,4.0561226845821725,1.3340943,0.22569251
26,1.4666666666666668,-2.0,4.118295027668565,1.305783,0.2623795
27,1.6,-2.0,4.123669780821476,1.2760704,0.29110828
28,1.7333333333333334,-2.0,4.079332832509228,1.2479366,0.3247212
29,1.8666666666666667,-2.0,4.009783989523286,1.2144986,0.3668503
30,2.0,-2.0,3.9455978889133316,1.1839277,0.39889702
31,-2.0,-1.8666666666666667,3.430042333353239,1.0745683,0.15150967
32,-1.8666666666666667,-1.8666666666666667,3.494228433968605,1.1090125,0.1422804
33,-1.7333333333333334,-1.8666666666666667,3.5637772769613076,1.1451129,0.1400064
34,-1.6,-1.8666666666666667,3.608114225278814,1.176517,0.115997404
35,-1.4666666666666668,-1.8666666666666667,3.6027394721264634,1.207994,0.11175528
36,-1.3333333333333335,-1.8666666666666667,3.5405671290336382,1.2387598,0.09424743
37,-1.2,-1.8666666666666667,3.437875194741387,1.2724975,0.1093266
38,-1.0666666666666667,-1.8666666666666667,3.331945183513599,1.294095,0.07904494
39,-0.9333333333333333,-1.8666666666666667,3.2703826764757595,1.356411,0.15408045
40,-0.8,-1.8666666666666667,3.2952438205977375,1.4632024,0.30664554
41,-0.6666666666666667,-1.8666666666666667,3.4272740555746464,1.6688275,0.47260395
42,-0.5333333333333334,-1.8666666666666667,3.65592167945969,1.9160562,0.472923
43,-0.3999999999999999,-1.8666666666666667,3.939093157952085,2.1738355,0.524631
44,-0.2666666666666666,-1.8666666666666667,4.213397870694921,2.4071186,0.5739255
45,-0.1333333333333333,-1.8666666666666667,4.411999149629266,2.5927932,0.6183896
46,0.0,-1.8666666666666667,3.4844444444444447,2.6263807,0.6123489
47,0.1333333333333333,-1.8666666666666667,4.411999148468834,2.6218793,0.6164174
48,0.2666666666666666,-1.8666666666666667,4.213397870238937,2.4219465,0.6062958
49,0.3999999999999999,-1.8666666666666667,3.9390931577624864,2.1683908,0.5549072
50,0.5333333333333332,-1.8666666666666667,3.6559216794060583,1.9268116,0.5252918
51,0.6666666666666665,-1.8666666666666667,3.427274055588952,1.7062256,0.46529618
52,0.7999999999999998,-1.8666666666666667,3.295243820637188,1.4867871,0.3325955
53,0.9333333333333331,-1.8666666666666667,3.2703826765140174,1.3632201,0.20791706
54,1.0666666666666664,-1.8666666666666667,3.3319451835374476,1.3066427,0.13316551
55,1.2000000000000002,-1.8666666666666667,3.4378751947478605,1.2683963,0.12626562
56,1.3333333333333335,-1.8666666666666667,3.540567129026617,1.23244,0.074219644
57,1.4666666666666668,-1.8666666666666667,3.6027394721130093,1.2016501,0.08123958
58,1.6,-1.8666666666666667,3.6081142252659206,1.179638,0.08159056
59,1.7333333333333334,-1.8666666666666667,3.563777276953673,1.1541214,0.103542775
60,1.8666666666666667,-1.8666666666666667,3.4942284339677308,1.1279881,0.12126818
61,2.0,-1.8666666666666667,3.4300423333577763,1.1098907,0.12764937
62,-2.0,-1.7333333333333334,2.950042333353239,0.97864664,0.18072617
63,-1.8666666666666667,-1.7333333333333334,3.014228433968605,1.0093834,0.17580602
64,-1.7333333333333334,-1.7333333333333334,3.0837772769613077,1.0375484,0.15660632
65,-1.6,-1.7333333333333334,3.128114225278814,1.0673069,0.14982754
66,-1.4666666666666668,-1.7333333333333334,3.1227394721264634,1.0951543,0.15171173
67,-1.3333333333333335,-1.7333333333333334,3.0605671290336383,1.1316429,0.13575163
68,-1.2,-1.7333333333333334,2.957875194741387,1.1639675,0.13354951
69,-1.0666666666666667,-1.7333333333333334,2.851945183513599,1.1954103,0.11372471
70,-0.9333333333333333,-1.7333333333333334,2.7903826764757595,1.2522843,0.15292767
71,-0.8,-1.7333333333333334,2.8152438205977375,1.349025,0.35688117
72,-0.6666666666666667,-1.7333333333333334,2.9472740555746464,1.5600903,0.41421863
73,-0.5333333333333334,-1.7333333333333334,3.17592167945969,1.7986256,0.42458192
74,-0.3999999999999999,-1.7333333333333334,3.459093157952085,2.0539773,0.39748523
75,-0.2666666666666666,-1.7333333333333334,3.7333978706949216,2.2760334,0.4111931
76,-0.1333333333333333,-1.7333333333333334,3.931999149629266,2.468604,0.43561873
77,0.0,-1.7333333333333334,3.0044444444444447,2.4723697,0.43332526
78,0.1333333333333333,-1.7333333333333334,3.931999148468834,2.4548495,0.4225838
79,0.2666666666666666,-1.7333333333333334,3.733397870238937,2.2538412,0.4493715
80,0.3999999999999999,-1.7333333333333334,3.4590931577624864,2.0190597,0.36009887
81,0.5333333333333332,-1.7333333333333334,3.1759216794060583,1.7821245,0.33797643
82,0.6666666666666665,-1.7333333333333334,2.947274055588952,1.5382009,0.4063603
83,0.7999999999999998,-1.7333333333333334,2.815243820637188,1.3489957,0.2655137
84,0.9333333333333331,-1.7333333333333334,2.7903826765140174,1.2538677,0.16917807
85,1.0666666666666664,-1.7333333333333334,2.8519451835374476,1.2240803,0.13576886
86,1.2000000000000002,-1.7333333333333334,2.9578751947478605,1.1892227,0.1090239
87,1.3333333333333335,-1.7333333333333334,3.060567129026617,1.1572552,0.0904586
88,1.4666666666666668,-1.7333333333333334,3.1227394721130093,1.1269778,0.11156249
89,1.6,-1.7333333333333334,3.1281142252659206,1.0928437,0.13507682
90,1.7333333333333334,-1.7333333333333334,3.083777276953673,1.0579551,0.13907492
91,1.8666666666666667,-1.7333333333333334,3.0142284339677308,1.0242676,0.1383923
92,2.0,-1.7333333333333334,2.9500423333577763,0.9924933,0.13582233
93,-2.0,-1.6,2.505597888908795,0.8876908,0.15031832
94,-1.8666666666666667,-1.6,2.569783989524161,0.922618,0.116430044
95,-1.7333333333333334,-1.6,2.6393328325168635,0.9537635,0.097473055
96,-1.6,-1.6,2.6836697808343697,0.98791045,0.08210221
97,-1.4666666666666668,-1.6,2.678295027682019,1.0255588,0.10602671
98,-1.3333333333333335,-1.6,2.616122684589194,1.0549489,0.08165541
99,-1.2,-1.6,2.513430750296943,1.0800891,0.054787517
100,-1.0666666666666667,-1.6,2.407500739069155,1.1223166,0.052850157
101,-0.9333333333333333,-1.6,2.3459382320313154,1.166964,0.085182935
102,-0.8,-1.6,2.3707993761532933,1.2504712,0.25299278
103,-0.6666666666666667,-1.6,2.502829611130202,1.4441667,0.38900885
104,-0.5333333333333334,-1.6,2.731477235015246,1.6878074,0.43792865
105,-0.3999999999999999,-1.6,3.0146487135076407,1.9032582,0.43585518
106,-0.2666666666666666,-1.6,3.2889534262504774,2.1370835,0.43137917
107,-0.1333333333333333,-1.6,3.487554705184822,2.343995,0.4488472
108,0.0,-1.6,2.5600000000000005,2.3456085,0.43491158
109,0.1333333333333333,-1.6,3.48755470402439,2.3448153,0.4152837
110,0.2666666666666666,-1.6,3.2889534257944932,2.143469,0.35910937
111,0.3999999999999999,-1.6,3.014648713318042,1.8834038,0.32653978
112,0.5333333333333332,-1.6,2.731477234961614,1.6194212,0.34722885
113,0.6666666666666665,-1.6,2.5028296111445076,1.3953338,0.31352118
114,0.7999999999999998,-1.6,2.370799376192744,1.2229484,0.16980654
115,0.9333333333333331,-1.6,2.345938232069573,1.1649722,0.0645276
116,1.0666666666666664,-1.6,2.4075007390930034,1.1065179,0.032335997
117,1.2000000000000002,-1.6,2.5134307503034163,1.0828104,0.031747848
118,1.3333333333333335,-1.6,2.616122684582173,1.0503397,0.0
119,1.4666666666666668,-1.6,2.678295027668565,1.0340639,0.022779435
120,1.6,-1.6,2.6836697808214764,1.001746,0.0491246
121,1.7333333333333334,-1.6,2.6393328325092287,0.9768214,0.06755808
122,1.8666666666666667,-1.6,2.5697839895232866,0.9505837,0.10003883
123,2.0,-1.6,2.505597888913332,0.9201327,0.13404465
124,-2.0,-1.4666666666666668,2.096709000019906,0.7962897,0.13656732
125,-1.8666666666666667,-1.4666666666666668,2.160895100635272,0.8293606,0.099918604
126,-1.7333333333333334,-1.4666666666666668,2.2304439436279746,0.86437505,0.08319485
127,-1.6,-1.4666666666666668,2.274780891945481,0.8913928,0.07162863
128,-1.4666666666666668,-1.4666666666666668,2.2694061387931304,0.9153588,0.09959066
129,-1.3333333333333335,-1.4666666666666668,2.207233795700305,0.9562016,0.078255266
130,-1.2,-1.4666666666666668,2.104541861408054,0.9809858,0.09529716
131,-1.0666666666666667,-1.4666666666666668,1.998611850180266,1.013772,0.073203534
132,-0.9333333333333333,-1.4666666666666668,1.9370493431424267,1.051749,0.07927576
133,-0.8,-1.4666666666666668,1.9619104872644044,1.1234322,0.20282048
134,-0.6666666666666667,-1.4666666666666668,2.0939407222413133,1.2716461,0.30398056
135,-0.5333333333333334,-1.4666666666666668,2.322588346126357,1.5055798,0.3167133
136,-0.3999999999999999,-1.4666666666666668,2.605759824618752,1.7646562,0.36456755
137,-0.2666666666666666,-1.4666666666666668,2.8800645373615885,1.9874035,0.42006055
138,-0.1333333333333333,-1.4666666666666668,3.078665816295933,2.1837363,0.33709916
139,0.0,-1.4666666666666668,2.1511111111111116,2.208951,0.4057475
140,0.1333333333333333,-1.4666666666666668,3.0786658151355013,2.197095,0.33974084
141,0.2666666666666666,-1.4666666666666668,2.8800645369056044,1.9887319,0.38458678
142,0.3999999999999999,-1.4666666666666668,2.6057598244291533,1.7556088,0.37193206
143,0.5333333333333332,-1.4666666666666668,2.3225883460727252,1.5117129,0.41717616
144,0.6666666666666665,-1.4666666666666668,2.093940722255619,1.2917306,0.34778836
145,0.7999999999999998,-1.4666666666666668,1.9619104873038549,1.1383759,0.24128962
146,0.9333333333333331,-1.4666666666666668,1.9370493431806846,1.0816435,0.115298
147,1.0666666666666664,-1.4666666666666668,1.9986118502041144,1.0480367,0.06755978
148,1.2000000000000002,-1.4666666666666668,2.1045418614145275,1.031359,0.039871305
149,1.3333333333333335,-1.4666666666666668,2.207233795693284,0.98975754,0.049050987
150,1.4666666666666668,-1.4666666666666668,2.2694061387796762,0.95316917,0.033591926
151,1.6,-1.4666666666666668,2.2747808919325876,0.9233511,0.038894594
152,1.7333333333333334,-1.4666666666666668,2.23044394362034,0.89279985,0.038385272
153,1.8666666666666667,-1.4666666666666668,2.1608951006343977,0.86544716,0.06076014
154,2.0,-1.4666666666666668,2.0967090000244433,0.84370524,0.063874155
155,-2.0,-1.3333333333333335,1.7233756666865725,0.69875145,0.059048742
156,-1.8666666666666667,-1.3333333333333335,1.7875617673019384,0.73468137,0.05213046
157,-1.7333333333333334,-1.3333333333333335,1.8571106102946409,0.7734922,0.005304605
158,-1.6,-1.3333333333333335,1.9014475586121475,0.8092256,0.054505706
159,-1.4666666666666668,-1.3333333333333335,1.8960728054597968,0.8382203,0.04238805
160,-1.3333333333333335,-1.3333333333333335,1.833900462366972,0.8788662,0.052366525
161,-1.2,-1.3333333333333335,1.7312085280747205,0.91223645,0.08506778
162,-1.0666666666666667,-1.3333333333333335,1.6252785168469326,0.96071047,0.031244993
163,-0.9333333333333333,-1.3333333333333335,1.5637160098090932,0.98642176,0.05833879
164,-0.8,-1.3333333333333335,1.588577153931071,1.0306494,0.111635625
165,-0.6666666666666667,-1.3333333333333335,1.72060738890798,1.155547,0.3107355
166,-0.5333333333333334,-1.3333333333333335,1.9492550127930235,1.389632,0.3512865
167,-0.3999999999999999,-1.3333333333333335,2.2324264912854184,1.6284704,0.33207956
168,-0.2666666666666666,-1.3333333333333335,2.506731204028255,1.8725319,0.35813364
169,-0.1333333333333333,-1.3333333333333335,2.7053324829625995,2.0900342,0.38388076
170,0.0,-1.3333333333333335,1.7777777777777781,2.1149228,0.3174142
171,0.1333333333333333,-1.3333333333333335,2.7053324818021673,2.0903094,0.35029855
172,0.2666666666666666,-1.3333333333333335,2.5067312035722704,1.903291,0.2760425
173,0.3999999999999999,-1.3333333333333335,2.23242649109582,1.6495341,0.35959902
174,0.5333333333333332,-1.3333333333333335,1.9492550127393917,1.3990039,0.38749686
175,0.6666666666666665,-1.3333333333333335,1.7206073889222853,1.1621062,0.28103837
176,0.7999999999999998,-1.3333333333333335,1.5885771539705213,1.0379008,0.096785694
177,0.9333333333333331,-1.3333333333333335,1.563716009847351,0.971066,0.122136384
178,1.0666666666666664,-1.3333333333333335,1.6252785168707808,0.95578605,0.06606427
179,1.2000000000000002,-1.3333333333333335,1.731208528081194,0.93973,0.03279388
180,1.3333333333333335,-1.3333333333333335,1.8339004623599506,0.8980784,0.02363035
181,1.4666666666666668,-1.3333333333333335,1.896072805446343,0.8747371,0.05476916
182,1.6,-1.3333333333333335,1.9014475585992543,0.85169905,0.05413547
183,1.7333333333333334,-1.3333333333333335,1.8571106102870063,0.8223604,0.037324876
184,1.8666666666666667,-1.3333333333333335,1.7875617673010642,0.7897968,0.06236723
185,2.0,-1.3333333333333335,1.7233756666911098,0.75467783,0.1229924
186,-2.0,-1.2,1.3855978889087943,0.5771237,0.36049202
187,-1.8666666666666667,-1.2,1.4497839895241602,0.63336295,0.30203924
188,-1.7333333333333334,-1.2,1.5193328325168627,0.6719911,0.21823716
189,-1.6,-1.2,1.5636697808343694,0.7195055,0.1519813
190,-1.4666666666666668,-1.2,1.5582950276820187,0.7752644,0.11760214
191,-1.3333333333333335,-1.2,1.4961226845891937,0.8095079,0.082046986
192,-1.2,-1.2,1.3934307502969423,0.8448507,0.07361239
193,-1.0666666666666667,-1.2,1.2875007390691544,0.8792381,0.058420062
194,-0.9333333333333333,-1.2,1.225938232031315,0.8843087,0.09771484
195,-0.8,-1.2,1.2507993761532927,0.9155323,0.19011223
196,-0.6666666666666667,-1.2,1.3828296111302019,1.0540873,0.2653713
197,-0.5333333333333334,-1.2,1.6114772350152453,1.2910161,0.26503626
198,-0.3999999999999999,-1.2,1.8946487135076402,1.49998,0.35627022
199,-0.2666666666666666,-1.2,2.168953426250477,1.7631905,0.36162248
200,-0.1333333333333333,-1.2,2.3675547051848214,1.9676149,0.3570598
201,0.0,-1.2,1.44,1.9633996,0.33920673
202,0.1333333333333333,-1.2,2.367554704024389,1.9853699,0.3118483
203,0.2666666666666666,-1.2,2.1689534257944922,1.7869105,0.34556517
204,0.3999999999999999,-1.2,1.8946487133180416,1.5077641,0.2896749
205,0.5333333333333332,-1.2,1.6114772349616135,1.2488971,0.32098976
206,0.6666666666666665,-1.2,1.382829611144507,1.0525361,0.25850037
207,0.7999999999999998,-1.2,1.2507993761927432,0.9439666,0.14430562
208,0.9333333333333331,-1.2,1.2259382320695729,0.89614725,0.09586364
209,1.0666666666666664,-1.2,1.2875007390930027,0.8605025,0.07737541
210,1.2000000000000002,-1.2,1.3934307503034158,0.83706886,0.07133171
211,1.3333333333333335,-1.2,1.4961226845821725,0.7925604,0.043958396
212,1.4666666666666668,-1.2,1.5582950276685648,0.77335817,0.070474714
213,1.6,-1.2,1.5636697808214761,0.7375742,0.0592916
214,1.7333333333333334,-1.2,1.5193328325092281,0.7070549,0.098065585
215,1.8666666666666667,-1.2,1.449783989523286,0.65462327,0.15997064
216,2.0,-1.2,1.3855978889133316,0.62134147,0.22595143
217,-2.0,-1.0666666666666667,1.0833756666865721,0.38066474,0.48851487
218,-1.8666666666666667,-1.0666666666666667,1.147561767301938,0.44555694,0.40106902
219,-1.7333333333333334,-1.0666666666666667,1.2171106102946405,0.52079254,0.33669165
220,-1.6,-1.0666666666666667,1.2614475586121472,0.5697993,0.26951817
221,-1.4666666666666668,-1.0666666666666667,1.2560728054597965,0.63737845,0.15536672
222,-1.3333333333333335,-1.0666666666666667,1.1939004623669716,0.7031359,0.12456468
223,-1.2,-1.0666666666666667,1.0912085280747201,0.74977654,0.15921351
224,-1.0666666666666667,-1.0666666666666667,0.9852785168469324,0.79197556,0.16276667
225,-0.9333333333333333,-1.0666666666666667,0.9237160098090927,0.8247493,0.18352556
226,-0.8,-1.0666666666666667,0.9485771539310706,0.8654698,0.21537128
227,-0.6666666666666667,-1.0666666666666667,1.0806073889079797,0.93926346,0.26260445
228,-0.5333333333333334,-1.0666666666666667,1.3092550127930234,1.1978956,0.3581287
229,-0.3999999999999999,-1.0666666666666667,1.592426491285418,1.3629732,0.44810507
230,-0.2666666666666666,-1.0666666666666667,1.8667312040282547,1.6415465,0.49119785
231,-0.1333333333333333,-1.0666666666666667,2.0653324829625994,1.8793671,0.32042447
232,0.0,-1.0666666666666667,1.1377777777777778,1.8455821,0.38791522
233,0.1333333333333333,-1.0666666666666667,2.065332481802167,1.8825576,0.43076804
234,0.2666666666666666,-1.0666666666666667,1.8667312035722703,1.6743195,0.39088687
235,0.3999999999999999,-1.0666666666666667,1.5924264910958197,1.4230608,0.330582
236,0.5333333333333332,-1.0666666666666667,1.3092550127393914,1.1617525,0.29134014
