,xtr_0,xtr_1,ytr_0,xte_0,xte_1,yte_0,modelte_0,epi_0
0,-1.0,-1.0,0.8082151450513766,-2.0,-2.0,3.9455978889087944,2.716640677218546,0.999999737266468
1,-0.8947368421052632,-1.0,0.7828087558329775,-1.8666666666666667,-2.0,4.00978398952416,2.9089736970246443,0.7093684869015674
2,-0.7894736842105263,-1.0,0.8172534097868989,-1.7333333333333334,-2.0,4.0793328325168625,3.1462550040062807,0.5140140271030038
3,-0.6842105263157895,-1.0,0.9193708349615816,-1.6,-2.0,4.123669780834369,3.378369021900335,0.3596258854661376
4,-0.5789473684210527,-1.0,1.084413993886785,-1.4666666666666668,-2.0,4.118295027682019,3.5643391479829423,0.22849119602491863
5,-0.4736842105263158,-1.0,1.2948836563908752,-1.3333333333333335,-2.0,4.056122684589194,3.6840051824366826,0.12121879634860798
6,-0.368421052631579,-1.0,1.5229999370037697,-1.2,-2.0,3.9534307502969424,3.7434914357715887,0.04461743968356118
7,-0.26315789473684215,-1.0,1.735422791153194,-1.0666666666666667,-2.0,3.8475007390691545,3.7723865705727277,0.004992908966767623
8,-0.1578947368421053,-1.0,1.8993114573918617,-0.9333333333333333,-2.0,3.785938232031315,3.813122484330824,0.004886114909247657
9,-0.052631578947368474,-1.0,1.9884978882241269,-0.8,-2.0,3.810799376153293,3.905672522870453,0.04175363345488068
10,0.05263157894736836,-1.0,1.9884978850912138,-0.6666666666666667,-2.0,3.9428296111302017,4.072463269778543,0.10790049588775091
11,0.1578947368421053,-1.0,1.899311456441779,-0.5333333333333334,-2.0,4.171477235015246,4.308602362276263,0.19141346652661145
12,0.26315789473684204,-1.0,1.7354227906870294,-0.3999999999999999,-2.0,4.45464871350764,4.5809715264505,0.277895486630173
13,0.36842105263157876,-1.0,1.5229999367669733,-0.2666666666666666,-2.0,4.728953426250477,4.836856414877024,0.3526971156295791
14,0.4736842105263157,-1.0,1.2948836562870316,-0.1333333333333333,-2.0,4.927554705184821,5.019538124940604,0.4032503427957804
15,0.5789473684210527,-1.0,1.084413993862463,0.0,-2.0,4.0,5.085801654251356,0.4210951702033577
16,0.6842105263157894,-1.0,0.9193708349812388,0.1333333333333333,-2.0,4.92755470402439,5.019538124810924,0.40325034277733535
17,0.7894736842105261,-1.0,0.8172534098255118,0.2666666666666666,-2.0,4.728953425794493,4.836856415145881,0.3526971156001072
18,0.894736842105263,-1.0,0.7828087558734692,0.3999999999999999,-2.0,4.454648713318042,4.580971528037557,0.27789548657799673
19,1.0,-1.0,0.808215145083368,0.5333333333333332,-2.0,4.171477234961613,4.308602365038748,0.1914134664578003
20,1.0,-1.0,0.808215145083368,0.6666666666666665,-2.0,3.942829611144507,4.072463272479492,0.1079004958103147
21,1.0,-0.8947368421052632,0.6087691617038666,0.7999999999999998,-2.0,3.8107993761927434,3.905672525515834,0.04175363337118569
