,ttrain,mse_test,mse_discounted_test,total_discount_test,mse_train,mse_discounted_train,total_discount_train,tevaluate
GPmodel,545.81285572052,0.01182535499338015,0.000766192858945638,0.004001654140352185,8.546127183997292e-05,8.693636257927559e-05,0.07923048991327666,1.4993104934692383
BNN,2222.0788831710815,0.2259021776947393,0.03132271902829946,0.008146264590322971,0.29262476373556706,0.09339279965375341,0.008225109428167343,60.88922333717346
Dropout,72.35532259941101,0.0782644270645848,0.08049603892769093,0.20525841414928436,0.08753395533457221,0.09011704441770726,0.19062812626361847,38.79168343544006
Negsep,2483.2049808502197,0.011553438229589614,0.010160637347688982,0.4369564950466156,0.011354446200586165,0.00959133838849798,0.439251571893692,0.4916374683380127
