,xte_0,xte_1,yte_0,modelte_0,epi_0
0,-2.0,-2.0,3.9455978889080496,2.9182873,0.48762947
1,-1.8666666666666667,-2.0,4.009783989524304,2.7330332,0.66143006
2,-1.7333333333333334,-2.0,4.079332832518116,2.5727477,0.7597181
3,-1.6,-2.0,4.123669780836485,2.6549838,0.5520912
4,-1.4666666666666668,-2.0,4.118295027684226,2.5975459,0.52349734
5,-1.3333333333333335,-2.0,4.056122684590346,2.4479432,0.6822177
6,-1.2,-2.0,3.95343075029588,2.390519,0.6802554
7,-1.0666666666666667,-2.0,3.8475007390652407,2.4044178,0.48169622
8,-0.9333333333333333,-2.0,3.7859382320250368,2.2616587,0.6348371
9,-0.8,-2.0,3.810799376146819,2.3028219,0.5306513
10,-0.6666666666666667,-2.0,3.9428296111278542,2.3707933,0.3825536
11,-0.5333333333333334,-2.0,4.171477235024047,2.2921638,0.56284577
12,-0.3999999999999999,-2.0,4.454648713538755,2.2268865,0.6079255
13,-0.2666666666666666,-2.0,4.728953426325307,2.3255067,0.51771563
14,-0.1333333333333333,-2.0,4.9275547053752575,2.3075845,0.5120739
15,0.0,-2.0,4.0,2.3243635,0.5632484
16,0.1333333333333333,-2.0,4.9275547038339536,2.3452108,0.39262912
17,0.2666666666666666,-2.0,4.728953425719662,2.3212435,0.51757467
18,0.3999999999999999,-2.0,4.454648713286927,2.1951737,0.7286881
19,0.5333333333333332,-2.0,4.171477234952812,2.3620486,0.4450337
20,0.6666666666666665,-2.0,3.9428296111468546,2.326883,0.5154549
21,0.7999999999999998,-2.0,3.8107993761992174,2.3766444,0.47383547
22,0.9333333333333331,-2.0,3.7859382320758512,2.3050818,0.6895836
23,1.0666666666666664,-2.0,3.8475007390969163,2.4932368,0.5456255
24,1.2000000000000002,-2.0,3.953430750304478,2.6583402,0.4877114
25,1.3333333333333335,-2.0,4.0561226845810205,2.481447,0.8839866
26,1.4666666666666668,-2.0,4.118295027666357,2.7726066,0.6720631
27,1.6,-2.0,4.12366978081936,2.9240475,0.5902833
28,1.7333333333333334,-2.0,4.079332832507975,2.958715,0.6948248
29,1.8666666666666667,-2.0,4.009783989523142,3.1291547,0.6414165
30,2.0,-2.0,3.9455978889140764,3.3255432,0.41337615
31,-2.0,-1.8666666666666667,3.4300423333524943,2.7044997,0.39055347
32,-1.8666666666666667,-1.8666666666666667,3.4942284339687486,2.6775775,0.4066633
33,-1.7333333333333334,-1.8666666666666667,3.5637772769625604,2.5271614,0.48638302
34,-1.6,-1.8666666666666667,3.60811422528093,2.5068786,0.35714635
35,-1.4666666666666668,-1.8666666666666667,3.6027394721286714,2.2979755,0.57300806
36,-1.3333333333333335,-1.8666666666666667,3.5405671290347906,2.3190892,0.42852917
37,-1.2,-1.8666666666666667,3.4378751947403248,2.1527355,0.6129453
38,-1.0666666666666667,-1.8666666666666667,3.3319451835096854,2.193896,0.44491592
39,-0.9333333333333333,-1.8666666666666667,3.2703826764694814,2.038623,0.53767157
40,-0.8,-1.8666666666666667,3.2952438205912635,1.9293939,0.71494216
41,-0.6666666666666667,-1.8666666666666667,3.427274055572299,2.1265883,0.411742
42,-0.5333333333333334,-1.8666666666666667,3.6559216794684914,2.0917418,0.4721348
43,-0.3999999999999999,-1.8666666666666667,3.9390931579831996,2.112337,0.4606364
44,-0.2666666666666666,-1.8666666666666667,4.213397870769752,2.08694,0.424069
45,-0.1333333333333333,-1.8666666666666667,4.411999149819702,2.0022652,0.5988483
46,0.0,-1.8666666666666667,3.4844444444444447,2.1097915,0.46472088
47,0.1333333333333333,-1.8666666666666667,4.411999148278398,2.0559907,0.5568326
48,0.2666666666666666,-1.8666666666666667,4.213397870164107,2.0692616,0.5595909
49,0.3999999999999999,-1.8666666666666667,3.9390931577313717,2.1335616,0.40790668
50,0.5333333333333332,-1.8666666666666667,3.655921679397257,2.1118982,0.4649886
51,0.6666666666666665,-1.8666666666666667,3.4272740555912993,2.1103444,0.45996407
52,0.7999999999999998,-1.8666666666666667,3.295243820643662,2.017163,0.65242666
53,0.9333333333333331,-1.8666666666666667,3.270382676520296,2.1047006,0.59411675
54,1.0666666666666664,-1.8666666666666667,3.331945183541361,2.268456,0.4913081
55,1.2000000000000002,-1.8666666666666667,3.437875194748923,2.3267403,0.60660213
56,1.3333333333333335,-1.8666666666666667,3.5405671290254648,2.4832156,0.5129599
57,1.4666666666666668,-1.8666666666666667,3.6027394721108017,2.644618,0.41644305
58,1.6,-1.8666666666666667,3.608114225263805,2.806474,0.4229374
59,1.7333333333333334,-1.8666666666666667,3.56377727695242,2.6990106,0.7253967
