,ttrain,mse_test,mse_discounted_test,total_discount_test,mse_train,mse_discounted_train,total_discount_train,tevaluate
GPmodel,0.2214810848236084,0.5254703952262089,0.16603332250459385,0.12453720138981807,5.119413808302081e-12,4.015223799851608e-12,0.09695433858351887,0.0049839019775390625
BNN,102.22607398033142,2.8687814840420636,1.8362156833962888,0.27922362089157104,0.007795820587164488,0.00275013324653597,0.12861870229244232,4.229851961135864
Dropout,3.485833168029785,1.3038784850782565,0.7898251514378472,0.2810607850551605,0.020452801137176485,0.021926617716788895,0.4254791736602783,2.6608526706695557
Negsep,20.28995656967163,9.550979484486891,0.033819589689392776,0.6797346472740173,0.0015705911717334123,0.0016605751162754269,0.3907196819782257,0.12192058563232422
