,ttrain,mse_test,mse_discounted_test,total_discount_test,mse_train,mse_discounted_train,total_discount_train,tevaluate
GPmodel,49.20231294631958,0.03327338483486379,0.0336763741252646,0.028273344265478104,1.161506101212901e-11,8.997526799998855e-12,0.0350580661075481,0.47300052642822266
BNN,176.62661170959473,1.3222674915367587,1.1452774613443488,0.11785750836133957,0.0019548026358889286,0.001603840150372788,0.06897667050361633,9.691198348999023
Dropout,6.7019593715667725,0.46838069886963085,0.38149874003105644,0.2878435254096985,0.0035104248409909377,0.003288256296461072,0.1017882227897644,6.508009672164917
Negsep,53.589003562927246,2.538561971568378,0.04008437465805254,0.9206564426422119,0.00484702185873263,0.0018109053579509322,0.24913690984249115,0.19300007820129395
