,ttrain,mse_test,mse_discounted_test,total_discount_test,mse_train,mse_discounted_train,total_discount_train,tevaluate
GPmodel,0.5846779346466064,0.10006959318809756,0.07581173112411121,0.07732453598124386,7.564471416816975e-11,8.75957921367059e-11,0.26558880354645237,0.015999317169189453
BNN,33.63678431510925,1.1572543605467291,1.1644667154305235,0.26810503005981445,0.0033407737650211445,0.00237464383018968,0.3756813704967499,9.400409460067749
Dropout,2.6282269954681396,1.5604589989338489,1.1059329371614814,0.3475564122200012,0.1215992704541057,0.13078209913652059,0.5109794735908508,6.649312496185303
Negsep,10.366268634796143,3.8411538844916677,0.06390175057439243,0.9164248108863831,0.022434934459013407,0.019699038723795734,0.2758350968360901,0.2599954605102539
