,ttrain,mse_test,mse_discounted_test,total_discount_test,mse_train,mse_discounted_train,total_discount_train,tevaluate
GPmodel,0.23121118545532227,0.46314772561130796,0.12073131257614561,0.1397048433292308,1.0732796135612925e-12,9.89044317587508e-13,0.11329785324206564,0.004732608795166016
BNN,103.12368822097778,0.6940742211205876,0.6254313250445318,0.18355980515480042,0.04488666612387824,0.03170186661683975,0.43643370270729065,4.257874965667725
Dropout,3.5198519229888916,0.9127805653287155,0.6173750695610808,0.20671223104000092,0.015570276728646077,0.017233726081111227,0.4464893341064453,2.64914608001709
Negsep,18.96754217147827,2.6028035669722764,0.030018281306413895,0.7700478434562683,0.002903347182025702,0.0018780516253662967,0.33597123622894287,0.09426021575927734
