,xtr_0,xtr_1,ytr_0,xte_0,xte_1,yte_0,modelte_0,epi_0,loss
0,-1.0,-1.0,0.8082151450513766,-2.0,-2.0,3.9455978889087944,1.2274987,0.14840825,49.25468978881836
1,-0.8947368421052632,-1.0,0.7828087558329775,-1.8666666666666667,-2.0,4.00978398952416,1.2588177,0.13656257,48.972537994384766
2,-0.7894736842105263,-1.0,0.8172534097868989,-1.7333333333333334,-2.0,4.0793328325168625,1.2905524,0.13127927,48.4364501953125
3,-0.6842105263157895,-1.0,0.9193708349615816,-1.6,-2.0,4.123669780834369,1.3193598,0.12828551,48.13500747680664
4,-0.5789473684210527,-1.0,1.084413993886785,-1.4666666666666668,-2.0,4.118295027682019,1.3540301,0.15611787,47.56689300537109
5,-0.4736842105263158,-1.0,1.2948836563908752,-1.3333333333333335,-2.0,4.056122684589194,1.3853717,0.14072321,47.34562301635742
6,-0.368421052631579,-1.0,1.5229999370037697,-1.2,-2.0,3.9534307502969424,1.4177071,0.12140368,47.1410270690918
7,-0.26315789473684215,-1.0,1.735422791153194,-1.0666666666666667,-2.0,3.8475007390691545,1.4575707,0.1229607,46.9622802734375
8,-0.1578947368421053,-1.0,1.8993114573918617,-0.9333333333333333,-2.0,3.785938232031315,1.507229,0.14450715,46.51470031738281
9,-0.052631578947368474,-1.0,1.9884978882241269,-0.8,-2.0,3.810799376153293,1.596906,0.23165108,46.18175354003906
10,0.05263157894736836,-1.0,1.9884978850912138,-0.6666666666666667,-2.0,3.9428296111302017,1.7612723,0.3523448,45.98683395385742
11,0.1578947368421053,-1.0,1.899311456441779,-0.5333333333333334,-2.0,4.171477235015246,1.9763935,0.41836894,45.81818771362305
12,0.26315789473684204,-1.0,1.7354227906870294,-0.3999999999999999,-2.0,4.45464871350764,2.1984808,0.4091149,45.59961624145508
13,0.36842105263157876,-1.0,1.5229999367669733,-0.2666666666666666,-2.0,4.728953426250477,2.4371614,0.46629232,45.24455032348633
14,0.4736842105263157,-1.0,1.2948836562870316,-0.1333333333333333,-2.0,4.927554705184821,2.642201,0.5030076,45.118316650390625
15,0.5789473684210527,-1.0,1.084413993862463,0.0,-2.0,4.0,2.6659505,0.49604082,44.782979583740236
16,0.6842105263157894,-1.0,0.9193708349812388,0.1333333333333333,-2.0,4.92755470402439,2.6747684,0.4828369,44.518924713134766
17,0.7894736842105261,-1.0,0.8172534098255118,0.2666666666666666,-2.0,4.728953425794493,2.4724965,0.4642219,44.07531585693359
18,0.894736842105263,-1.0,0.7828087558734692,0.3999999999999999,-2.0,4.454648713318042,2.2063367,0.41707468,44.20509414672851
19,1.0,-1.0,0.808215145083368,0.5333333333333332,-2.0,4.171477234961613,1.9749572,0.3972671,43.971614837646484
20,1.0,-1.0,0.808215145083368,0.6666666666666665,-2.0,3.942829611144507,1.7846221,0.34204537,43.54903717041016
21,1.0,-0.8947368421052632,0.6087691617038666,0.7999999999999998,-2.0,3.8107993761927434,1.6228547,0.21361105,43.50298919677734
