,xtr_0,xtr_1,ytr_0,xte_0,xte_1,yte_0,modelte_0,epi_0,loss,x_epi_0,x_epi_1,y_epi_0
0,-1.0,-1.0,0.8082151450513766,-2.0,-2.0,3.9455978889087944,0.09115465,0.99999994,0.35261072317759196,-2.196968,0.051018346,1.0
1,-0.8947368421052632,-1.0,0.7828087558329775,-1.8666666666666667,-2.0,4.00978398952416,0.3923025,0.99999994,0.20381134019957647,4.440892e-17,-4.718448e-17,1.0
2,-0.7894736842105263,-1.0,0.8172534097868989,-1.7333333333333334,-2.0,4.0793328325168625,0.6594901,0.99999994,0.19112417300542195,4.440892e-17,-4.718448e-17,1.0
3,-0.6842105263157895,-1.0,0.9193708349615816,-1.6,-2.0,4.123669780834369,0.9266776,0.99999994,0.18332161224550672,4.440892e-17,-4.718448e-17,1.0
4,-0.5789473684210527,-1.0,1.084413993886785,-1.4666666666666668,-2.0,4.118295027682019,1.1906776,0.99999994,0.1756516743865278,4.440892e-17,-2.3733902,1.0
5,-0.4736842105263158,-1.0,1.2948836563908752,-1.3333333333333335,-2.0,4.056122684589194,1.4509695,0.99999994,0.1591438682542907,4.440892e-17,-4.718448e-17,1.0
6,-0.368421052631579,-1.0,1.5229999370037697,-1.2,-2.0,3.9534307502969424,1.5895214,0.99999994,0.15384187201658886,4.440892e-17,-4.718448e-17,1.0
7,-0.26315789473684215,-1.0,1.735422791153194,-1.0666666666666667,-2.0,3.8475007390691545,1.6593217,0.99999994,0.15829741623666552,4.440892e-17,-4.718448e-17,1.0
8,-0.1578947368421053,-1.0,1.8993114573918617,-0.9333333333333333,-2.0,3.785938232031315,1.6333677,0.99999994,0.1443179465830326,4.440892e-17,-4.718448e-17,1.0
9,-0.052631578947368474,-1.0,1.9884978882241269,-0.8,-2.0,3.810799376153293,1.5791093,0.99999994,0.14445117778248256,-0.78977144,-0.018165069,1.0
