,ttrain,mse_test,mse_discounted_test,total_discount_test,mse_train,mse_discounted_train,total_discount_train,tevaluate
GPmodel,0.2126767635345459,0.46314772561130796,0.12073131257614561,0.1397048433292308,1.0732796135612925e-12,9.89044317587508e-13,0.11329785324206564,0.004770755767822266
BNN,102.47736549377441,0.5792227609657783,0.5889371130660301,0.14060045778751373,0.03401251047507361,0.02622397207470217,0.31690075993537903,4.299478530883789
Dropout,3.5037519931793213,0.8790558883513147,0.6181607727719837,0.20921169221401215,0.029134346209539617,0.030825933854812422,0.43839532136917114,2.573089599609375
Negsep,18.98859930038452,7.485869455616776,0.11257252668868122,0.7420490384101868,0.035313963353482504,0.038592888241860614,0.2891506254673004,0.09890079498291016
