,ttrain,mse_test,mse_discounted_test,total_discount_test,mse_train,mse_discounted_train,total_discount_train,tevaluate
GPmodel,0.21243691444396973,0.10007012638256833,0.06556145759550841,0.19929947258045236,7.564924581868046e-11,8.984122661785679e-11,0.3215912986478848,0.005557060241699219
BNN,47.110280990600586,1.154096314592128,1.1953918736367923,0.28183770179748535,0.0028530641364431022,0.0019530414908347667,0.4342246949672699,11.140830755233765
Dropout,1.633626937866211,1.505053414749724,1.068105705484316,0.3445385992527008,0.11172159321171005,0.1211742300242655,0.503686249256134,7.281691074371338
Negsep,13.0685396194458,1.256946324093365,0.18930706884369353,0.8046743869781494,0.013196932760945562,0.012467897278196556,0.1527620106935501,0.18457841873168945
