,xtr_0,xtr_1,ytr_0,xte_0,xte_1,yte_0,modelte_0,epi_0,loss
0,-1.0,-1.0,0.8082151450513766,-2.0,-2.0,3.9455978889087944,1.2262349,0.10977547,49.25468978881836
1,-0.8947368421052632,-1.0,0.7828087558329775,-1.8666666666666667,-2.0,4.00978398952416,1.2562174,0.10038738,48.972537994384766
2,-0.7894736842105263,-1.0,0.8172534097868989,-1.7333333333333334,-2.0,4.0793328325168625,1.2875514,0.09970629,48.4364501953125
3,-0.6842105263157895,-1.0,0.9193708349615816,-1.6,-2.0,4.123669780834369,1.3152151,0.09830406,48.13500747680664
4,-0.5789473684210527,-1.0,1.084413993886785,-1.4666666666666668,-2.0,4.118295027682019,1.3494351,0.13227205,47.56689300537109
5,-0.4736842105263158,-1.0,1.2948836563908752,-1.3333333333333335,-2.0,4.056122684589194,1.3787379,0.120805964,47.34562301635742
6,-0.368421052631579,-1.0,1.5229999370037697,-1.2,-2.0,3.9534307502969424,1.4099258,0.10376139,47.1410270690918
7,-0.26315789473684215,-1.0,1.735422791153194,-1.0666666666666667,-2.0,3.8475007390691545,1.4503177,0.10747926,46.9622802734375
8,-0.1578947368421053,-1.0,1.8993114573918617,-0.9333333333333333,-2.0,3.785938232031315,1.4968753,0.12420015,46.51470031738281
9,-0.052631578947368474,-1.0,1.9884978882241269,-0.8,-2.0,3.810799376153293,1.5820726,0.18729354,46.18175354003906
10,0.05263157894736836,-1.0,1.9884978850912138,-0.6666666666666667,-2.0,3.9428296111302017,1.7343225,0.26002854,45.98683395385742
11,0.1578947368421053,-1.0,1.899311456441779,-0.5333333333333334,-2.0,4.171477235015246,1.9397045,0.31500375,45.81818771362305
12,0.26315789473684204,-1.0,1.7354227906870294,-0.3999999999999999,-2.0,4.45464871350764,2.1612992,0.33030474,45.59961624145508
13,0.36842105263157876,-1.0,1.5229999367669733,-0.2666666666666666,-2.0,4.728953426250477,2.4005206,0.3776462,45.24455032348633
