,xtr_0,ytr_0,xte_0,yte_0,modelte_0,epi_0,loss,x_epi_0,y_epi_0
0,-1.5829779952974259,0.9662141511492748,-4.0,4.898587196589413e-16,-7.8845377,1.0,0.4116325249671936,-3.7974021,1.0
1,-1.279675506557842,0.7698630357936138,-3.959798994974874,0.1259597050677177,-7.7451286,1.0,0.24053223288059233,-0.014641511,1.0
2,-1.9998856251826551,0.000359319078194409,-3.919597989949749,0.2499129623703082,-7.6057196,1.0,0.2023917093873024,-0.014641511,1.0
3,-1.6976674273681602,0.8133025202658843,-3.879396984924623,0.369885285416548,-7.4663086,1.0,0.1885496928691864,-0.014641511,1.0
4,-1.8532441091828868,0.4448862350367828,-3.8391959798994977,0.483965601142838,-7.3268986,1.0,0.178019122838974,-0.014641511,1.0
5,-1.9076614052312022,0.2860387063779303,-3.798994974874372,0.5903366919365289,-7.1874905,1.0,0.17715309572219848,-1.0854865,1.0
6,-1.8137397886223292,0.5523275271250853,-3.758793969849246,0.6873041426091845,-7.048081,1.0,0.1772580213546753,-0.014641511,1.0
7,-1.6544392729569521,0.8845885523454862,-3.7185929648241207,0.773323331215339,-6.9086714,1.0,0.17416236793994905,-0.014641511,1.0
8,-1.60323252576933,0.9478693757128499,-3.678391959798995,0.8470240337722996,-6.7692637,1.0,0.1745161509513855,-0.014641511,1.0
9,-1.461183265996643,0.9925737516365071,-3.6381909547738696,0.9072322509454811,-6.6298532,1.0,0.17056263029575347,-0.014641511,1.0
10,-1.5808054855967053,0.9679507489980838,-3.5979899497487438,0.9529889090158394,-6.490444,1.0,0.16731065058708192,-2.7706773,1.0
11,-1.3147804996032404,0.8354285670633269,-3.557788944723618,0.98356513723637,-6.3510356,1.0,0.1591543722450733,-0.014641511,1.0
12,-1.7955477502684825,0.5990432330954866,-3.5175879396984926,0.9984738782203788,-6.211626,1.0,0.16477814757823944,-0.014641511,1.0
13,-1.1218825636090546,0.3736170111812786,-3.477386934673367,0.9974776464163388,-6.072218,1.0,0.16396291574835778,-0.014641511,1.0
14,-1.9726124068020738,0.08593454110720072,-3.4371859296482414,0.9805923110824042,-5.932808,1.0,0.1685874952673912,-0.014641511,1.0
15,-1.3295324898215979,0.8599934562565188,-3.3969849246231156,0.9480868435005093,-5.7934003,1.0,0.15848059916496277,-1.1990896,1.0
16,-1.582695197632873,0.9664427555766607,-3.35678391959799,0.9004790324567514,-5.6309204,1.0,0.1591156823039055,-0.014641511,1.0
17,-1.4413101715542482,0.9830501940093126,-3.3165829145728645,0.8385272362373773,-5.4577403,1.0,0.15762985956668854,-0.014641511,1.0
18,-1.8596130614047661,0.4268788875939333,-3.2763819095477387,0.7632183025251686,-5.284562,1.0,0.15313466036319734,-0.014641511,1.0
19,-1.8018985109151213,0.5829495673115249,-3.2361809045226133,0.6757518486236092,-5.111385,1.0,0.16819870841503143,-0.014641511,1.0
20,-1.1992554313244632,0.5858912488544809,-3.1959798994974875,0.5775211524135879,-4.9381886,1.0,0.35353543162345885,-3.1313727,1.0
21,-1.0317384242806025,0.0995440657721476,-3.1557788944723617,0.4700909584360025,-4.764893,1.0,0.10308257728815079,-0.014641511,1.0
22,-1.6865758218407572,0.833079143316727,-3.115577889447236,0.3551725526334265,-4.5915985,1.0,0.06072812579572201,-0.014641511,1.0
23,-1.307677384330686,0.8229572323396676,-3.0753768844221105,0.23459650279236882,-4.418302,1.0,0.0609464068710804,-0.014641511,1.0
24,-1.1236108477039617,0.3786478514509084,-3.035175879396985,0.11028349891127548,-4.245007,1.0,0.04106727629899978,-0.014641511,1.0
25,-1.1053933364961526,0.32508625115620254,-2.9949748743718594,-0.015786242013636178,-4.0717115,1.0,0.05393789410591125,-0.98636,1.0
26,-1.914955788630222,0.2640070187681999,-2.9547738693467336,-0.14160451942495228,-3.898417,1.0,0.03813584223389625,-0.014641511,1.0
27,-1.9609452167671177,0.1223866145425433,-2.914572864321608,-0.265167138398679,-3.7251205,1.0,0.04997323215007782,-0.014641511,1.0
28,-1.830169580435431,0.5085827809366517,-2.8743718592964824,-0.3845058350320108,-3.551825,1.0,0.044807714745402336,-0.014641511,1.0
29,-1.1218574965705868,0.3735439624638416,-2.834170854271357,-0.4977196294756828,-3.37853,1.0,0.02268008068203926,-0.014641511,1.0
30,-1.90165316616695,0.3040734659508064,-2.7939698492462313,-0.603005107179614,-3.2052345,1.0,0.041358824074268344,-1.3760281,1.0
31,-1.5788923749949477,0.9694426632488619,-2.7537688442211055,-0.698685145993307,-3.0319395,1.0,0.04827877119183541,-0.014641511,1.0
32,-1.042110469849498,0.1319083857322396,-2.7135678391959797,-0.7832356315188906,-2.8586438,1.0,0.01611070193350315,-0.014641511,1.0
33,-1.466834715026983,0.994576941473116,-2.6733668341708543,-0.8553097351604119,-2.6853485,1.0,0.028436812460422515,-0.014641511,1.0
34,-1.3081228860495266,0.8237515349181933,-2.633165829145729,-0.9137593681374366,-2.5120533,1.0,0.027703345566987992,-0.014641511,1.0
35,-1.684484368993937,0.8366956278447218,-2.592964824120603,-0.9576534697159294,-2.3387578,1.0,0.02379233278334141,-0.18812129,1.0
36,-1.3134990723184163,0.8332092701240986,-2.5527638190954773,-0.9862928383380029,-2.165462,1.0,0.039705830961465835,-0.014641511,1.0
37,-1.1653743281026272,0.49647982446376226,-2.5125628140703515,-0.9992212694012756,-1.992167,1.0,0.023153162486851217,-0.014641511,1.0
38,-1.9817117226558083,0.057422713530703724,-2.472361809045226,-0.9962328222710067,-1.8188713,0.9999999,0.017315061837434767,-0.014641511,1.0
39,-1.2498556850550324,0.7067861213204565,-2.4321608040201004,-0.9773751007667071,-1.6455762,0.9999994,0.06208996616303921,-0.014641511,1.0
40,-1.0111389110935054,0.03498677958688386,-2.391959798994975,-0.9429484948674373,-1.4722805,0.99999726,0.1906244957447052,-3.63204,1.0
41,-1.2518343456201606,0.7111699087697887,-2.351758793969849,-0.8935013957148741,-1.298985,0.9999893,0.17159901881217957,-0.014641511,1.0
42,-1.7195560079355947,0.7714015988233429,-2.3115577889447234,-0.8298214601357254,-1.12569,0.9999583,0.15464998978376387,-0.014641511,1.0
43,-1.2107206715485115,0.6146944368056666,-2.271356783919598,-0.7529230638333768,-0.9523942,0.9998374,0.163217338681221,-0.014641511,1.0
44,-1.896773993422358,0.3186397255140036,-2.2311557788944723,-0.6640311431104307,-0.7790988,0.9993658,0.15628203201293944,-0.014641511,1.0
45,-1.5521064738240948,0.9866314873032482,-2.190954773869347,-0.5645616825119184,-0.6058038,0.9975288,0.1551407381296158,-0.9211983,1.0
46,-1.0914044969069043,0.28322553519470134,-2.150753768844221,-0.4560991592070158,-0.4325084,0.99041843,0.15703049278259276,-0.014641511,1.0
47,-1.7063858516263206,0.7970629892396291,-2.1105527638190953,-0.34037130340411215,-0.25921273,0.963532,0.1593226236104965,-0.014641511,1.0
48,-1.7122246614136514,0.785852154322267,-2.07035175879397,-0.21922157684769095,-0.14769989,0.8929548,0.16245321667194365,-0.014641511,1.0
49,-1.8699714278817223,0.397230268485854,-2.030150753768844,-0.09457980779484401,-0.017527282,0.8189476,0.15372644171118735,-0.014641511,1.0
50,-1.980633042129703,0.06080556052468847,-1.9899497487437188,0.031568549764810244,0.089848936,0.748625,0.15764317965507507,-1.3515807,1.0
51,-1.321164467060109,0.8462824763767096,-1.949748743718593,0.15721404296725106,0.19722527,0.661107,0.15224031065404414,-0.014641511,1.0
52,-1.788371883999941,0.6169405645288185,-1.9095477386934672,0.28035522921701517,0.30460155,0.55903023,0.155053555727005,-0.014641511,1.0
53,-1.7344533406277738,0.7407858226266749,-1.8693467336683418,0.3990305577323406,0.41197774,0.4486043,0.1609327130317688,-0.014641511,1.0
